項番,基準,分類,重要度,ID,タイトル,関連,解説／対策,新規本番,新規開発,既存本番,既存開発
37,AWS,RDS,中,RDS.3,RDS DB インスタンスでは、保管時の暗号化を有効にする必要があります,,"【①：リスク】
・DBインスタンスが暗号化されていないと、ストレージへの不正アクセスによりデータが平文で読み取られるリスクがある
【②：対策】
・RDSインスタンスを作成時に暗号化を有効化する
・作成済みの暗号化されていないRDSインスタンスを暗号化するには、まずスナップショットを取得し、それを使い暗号化されたスナップショットのコピーを作成し、DBインスタンスを復元する
（実施時のTIP）
・インスタンスクラスの一部（主に無料利用枠対象）は暗号化が利用できない
https://docs.aws.amazon.com/ja_jp/AmazonRDS/latest/UserGuide/Overview.Encryption.html
【③：②を行わない場合のリスク軽減策】
・なし",強く推奨,推奨,推奨,推奨
38,AWS,KMS,中,KMS.1,IAM カスタマー管理ポリシーでは、すべての KMS キーで復号アクションを許可してはなりません,,"【①：リスク】
・全てのキーへの復号処理権限を付与したIAMカスタマー管理ポリシーを作成すると、そのポリシーを割り当てたIAMユーザー、IAMロールが悪用されたときに復号できるデータの範囲が広くなってしまう
【②：対策】
・カスタマー管理ポリシーでkms:Decrypt、kms:ReEncryptFromを扱う場合は、アクセス権を付与するキーを明示的にResourceに記述する
・AWSマネージドポリシーを使う
【③：②を行わない場合のリスク軽減策】
・キーポリシーでアクセス制御を行う",推奨,推奨,推奨,推奨
39,AWS,S3,中,S3.1,S3 ブロックパブリックアクセス設定を有効にする必要があります,,"【①：リスク】
・S3バケットのブロックパブリックアクセス設定がオフになっているかつACL・バケットポリシーで正しくアクセス制限が行われていない場合にインターネット上からS3バケット内のデータを参照できてしまう。アカウントレベルでのブロックパブリックアクセス設定を有効にすると、各バケットレベルのブロックパブリックアクセスの状態に関わらず、全てのバケットへのパブリックアクセスを禁止でき、設定ミスを防ぐことができる。
【②：対策】
・アカウントレベルのパブリックアクセスブロックをオンに設定する。
（実施時のTIP）
・アカウントレベルのパブリックアクセスブロック設定は最も強く、バケットレベルのパブリックアクセスブロック、バケットポリシー、バケットACLに関わらずパブリックアクセスを全て禁止にする。
【③：②を行わない場合のリスク軽減策】
・バケットレベルでパブリックアクセスブロックを設定する。",強く推奨,強く推奨,強く推奨,強く推奨
40,AWS,CloudTrail,中,CloudTrail.2,CloudTrail では、保管時の暗号化を有効にする必要があります,"CloudTrail.2
CIS.2.7","【①：リスク】
・CloudTrailログファイルのセキュリティを”更に”強化するため、CloudTrailログファイルにAWS KMSキー（SSE-KMS）を使用して保存時の暗号化を行う。
※デフォルトでAES-256（SSE-S3）を用いた暗号化がされている
【②：対策】
・CloudTrailでログファイルのSSE-KMS暗号化を有効に設定する。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
41,AWS,ELBv2,中,ELBv2.1,Application Load Balancer は、すべての HTTP リクエストを HTTPS にリダイレクトするように設定する必要があります,,"【①：リスク】
・非暗号化通信は盗聴、改ざんのリスクが高い。
【②：対策】
・HTTPリスナーの既存ルールを削除する
・HTTPリスナーにHTTPSアドレスにリダイレクトするルールを追加する
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,推奨,強く推奨,推奨
42,AWS,IAM,中,IAM.7,IAM ユーザーのパスワードポリシーには、強力な設定が必要です,"IAM.7
CIS.1.5
CIS.1.6
CIS.1.7
CIS.1.8
CIS.1.9","【①：リスク】
・脆弱なパスワードのIAMユーザーは不正なアクセス等に利用される可能性がある。
【②：対策】
・IAMアカウント設定のパスワードポリシーで以下の要件を有効にする
　ーパスワードの最小文字数を強制する（14文字）
　ー1 文字以上のアルファベット大文字 (A～Z) を必要とする
　ー1 文字以上のアルファベット小文字 (a～z) を必要とする
　ー少なくとも 1 つの数字が必要
　ー少なくとも 1 つの英数字以外の文字が必要 (! @ # $ % ^ & * ( ) _ + - = [ ] { } | ')
【③：②を行わない場合のリスク軽減策】
・AWS SSOのフェデレーションを利用する。",強く推奨,強く推奨,強く推奨,推奨
43,AWS,ACM,中,ACM.1,ACM 証明書は、指定された期間後に更新する必要があります。,,"【①：リスク】
・証明書の有効期限が切れると、TLS接続の検証に失敗してしまう。（有効期限が残り1ヶ月以内、もしくは期限切れ証明書について検出される）
【②：対策】
・期限が切れる前に更新する。
・使用していない証明書の場合、AWS Certificate Managerから削除する。
（実施時のTIP）
・AWS発行の証明書の場合、基本的に自動更新される
・証明書の更新をDNS認証による自動更新に設定する
https://docs.aws.amazon.com/ja_jp/acm/latest/userguide/managed-renewal.html
【③：②を行わない場合のリスク軽減策】
・なし",強く推奨,推奨,強く推奨,推奨
44,AWS,EC2,中,EC2.7,EBS のデフォルト暗号化を有効にする必要があります,,"【①：リスク】
・EBSを暗号化しないことで、ストレージへの物理的なアクセスによりデータが抜き取られるリスク。また、KMSへのアクセス権限がないIAMユーザー・ロールでも、EC2へアクセス出来ればデータが参照できるリスク。
【②：対策】
・リージョンレベルのEBSデフォルト暗号化を有効にする。
（実施時のTIP）
・EBSデフォルト暗号化は、EC2を新規に作成する時、およびEBSスナップショットをコピーするときに自動的にEBSボリュームを暗号化する。作成済みのリソースの暗号化状態は変更されることはない。またEC2からEBSスナップショットを作成する時も、直接暗号化されることはない。
https://docs.aws.amazon.com/ja_jp/AWSEC2/latest/UserGuide/EBSEncryption.html#encryption-by-default
【③：②を行わない場合のリスク軽減策】
・IAMポリシーやリソースポリシーを利用し、EC2へのアクセス権限を最小限に指定する。",強く推奨,強く推奨,推奨,推奨
45,AWS,RDS,中,RDS.10,IAM authentication should be configured for RDS instances,,"【①：リスク】
・RDSインスタンスへの接続にユーザ名・パスワードを使用すると、機密情報を安全に管理するための手間が発生し、漏洩するリスクが高い。
【②：対策】
・RDSインスタンスの設定にて、データベース認証に「パスワードとIAMデータベース認証」を選択する。データベースへアクセスするユーザーはパスワード無しで作成し、適切なIAMポリシーを付けたIAMロールを利用してデータベースアクセスする。
https://blog.serverworks.co.jp/rds-iamdblogin
（実施時のTIP）
・IAM認証がサポートされているのはMySQL、PostgreSQL、Auroraのみである。
【③：②を行わない場合のリスク軽減策】
・データベース接続情報をSecrets ManagerやSystems Manager Parameter StoreのSecureStringで安全に保存し、IAMポリシーでアクセス制限を最小限に絞る。",推奨,推奨,推奨,推奨
46,AWS,RDS,中,RDS.15,RDS DB clusters should be configured for multiple Availability Zones,,"【①：リスク】
・単一のアベイラビリティーゾーン（単一AZ）にDBクラスターを配置する場合、該当AZで障害が発生するとサービス停止やデータ消失等の問題が発生する可能性がある。
【②：対策】
・DBクラスターのマルチAZ配置を有効に設定する。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
47,AWS,RDS,中,RDS.9,Database logging should be enabled,,"【①：リスク】
・データベースログを取得しない場合、セキュリティやアクセスの監査を行えなかったり、サービス停止等の障害調査を行えないリスクがある。
【②：対策】
・各DBタイプに必要なパラメータ値を持つDB パラメータグループを作成する
・DBインスタンスにパラメータグループを割り当てる
・DBインスタンスでCloudWatch Logsへのログ出力を設定する
（実施時のTIP）
・アラート解消には以下のログ取得を有効にする必要がある
　・PostgreSQLの場合：PostgreSQLログとUpgradeログの両方
　・MySQLの場合：Errorログ、Generalログ、Slow queryログの3つ（Auditログは必須ではない）
【③：②を行わない場合のリスク軽減策】
・無し。",推奨,推奨,推奨,推奨
48,AWS,SQS,中,SQS.1,Amazon SQS queues should be encrypted at rest,,"【①：リスク】
・非暗号化メッセージの保管は盗聴のリスクがある。
※メッセージ転送時の暗号化はデフォルトで実施されている
【②：対策】
・各キュ―でサーバー側の暗号化を有効に設定する。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
49,AWS,DynamoDB,中,DynamoDB.1,DynamoDB tables should automatically scale capacity with demand,,"【①：リスク】
・設定した読み込み／書き込み容量を超えるアクセスが発生すると、アクセスが失敗する場合がある。
【②：対策】
・DynamoDBテーブルのキャパシティ設定を「オンデマンド」にするか、「プロビジョンド」でReadとWrite両方のAuto scalingをオンにする。
（実施時のTIP）
なし
【③：②を行わない場合のリスク軽減策】
・テーブルのメトリクスをモニタリングし、必要に応じて読み込み／書き込み容量を変更する。",任意,任意,任意,任意
50,AWS,DynamoDB,中,DynamoDB.2,DynamoDB tables should have point-in-time recovery enabled,,"【①：リスク】
・誤ったデータ削除／更新への対応ができない
【②：対策】
・DynamoDBテーブルのポイントインタイムリカバリーを有効にする。
（実施時のTIP）
・ポイントインタイムリカバリーは利用料が発生する。
・元のテーブルにリストアすることはできず、新しいテーブルを作成してリストアする必要がある。
【③：②を行わない場合のリスク軽減策】
・定期的にテーブルのバックアップを取得する。",任意,任意,任意,任意
51,AWS,EFS,中,EFS.1,Elastic File System は、AWS KMS を使用して保管時のファイルデータを暗号化するように設定する必要があります,,"【①：リスク】
・EFSのデータを暗号化せずに保存することで、ストレージへの物理的なアクセスによりデータが抜き取られるリスク。また、KMSへのアクセス権限がないIAMユーザー・ロールでも、EFSへアクセス出来ればデータが参照できるリスク。
【②：対策】
・暗号化されていないEFSファイルシステムのバックアップを取得し、リストアする際に暗号化を有効にする。
（実施時のTIP）
・マネジメントコンソールからEFSファイルシステムを新規にを作成する場合、自動で推奨設定を利用して暗号化されたファイルシステムが作成される。
・CLIからEFSファイルシステムを新規に作成する場合、デフォルトでは暗号化されないため、--encryptedオプションを付ける必要がある。
https://docs.aws.amazon.com/cli/latest/reference/efs/create-file-system.html
【③：②を行わない場合のリスク軽減策】
・IAMポリシーやリソースポリシーを利用し、EFSへのアクセス権限を最小限に指定する。",強く推奨,強く推奨,推奨,推奨
